omega_eV,Re,Im
2.45000000,5430.36390000,-3526.27610000
2.45500000,5445.96420000,-3535.58930000
2.46000000,5464.79260000,-3548.11250000
2.46500000,5498.70720000,-3562.92090000
2.47000000,5547.15110000,-3574.92420000
2.47500000,5594.88100000,-3583.33170000
2.48000000,5648.09410000,-3593.59620000
2.48500000,5712.27680000,-3604.11970000
2.49000000,5792.48170000,-3612.02640000
2.49500000,5885.12710000,-3614.07350000
2.50000000,5986.25120000,-3606.06650000
2.50500000,6074.10810000,-3589.99830000
2.51000000,6157.48970000,-3571.21460000
2.51500000,6239.70100000,-3548.66290000
2.52000000,6320.91190000,-3520.07570000
2.52500000,6385.88890000,-3481.37350000
2.53000000,6436.73010000,-3439.92840000
2.53500000,6469.67430000,-3398.81450000
2.54000000,6481.42650000,-3362.77620000
2.54500000,6492.38980000,-3331.82030000
2.55000000,6504.76520000,-3304.30310000
2.55500000,6515.48900000,-3277.22360000
2.56000000,6523.88300000,-3254.01900000
2.56500000,6537.96630000,-3232.62330000
2.57000000,6561.77310000,-3204.73150000
2.57500000,6560.67200000,-3176.66990000
2.58000000,6558.75450000,-3153.16720000
2.58500000,6551.10960000,-3131.18490000
2.59000000,6537.08220000,-3113.86880000
2.59500000,6528.69510000,-3102.94090000
2.60000000,6532.28270000,-3093.34420000
2.60500000,6543.91030000,-3082.34280000
2.61000000,6561.57100000,-3066.66300000
2.61500000,6561.26230000,-3047.57310000
2.62000000,6554.01680000,-3035.80470000
2.62500000,6554.64250000,-3027.44430000
2.63000000,6573.56090000,-3016.47720000
2.63500000,6571.41980000,-3000.74840000
2.64000000,6574.45160000,-2985.43300000
2.64500000,6560.10800000,-2972.29210000
2.65000000,6543.18310000,-2965.12440000
2.65500000,6530.74950000,-2963.93460000
2.66000000,6529.90180000,-2965.26890000
2.66500000,6538.92220000,-2968.02870000
2.67000000,6559.51450000,-2968.95730000
2.67500000,6584.26930000,-2966.57360000
2.68000000,6613.25790000,-2964.25890000
2.68500000,6635.22250000,-2955.89240000
2.69000000,6664.96570000,-2954.90860000
2.69500000,6707.72420000,-2950.69000000
2.70000000,6753.64970000,-2941.02280000
2.70500000,6800.51390000,-2925.29330000
2.71000000,6830.50410000,-2905.47410000
2.71500000,6846.33790000,-2884.53230000
2.72000000,6862.11470000,-2870.87040000
2.72500000,6888.36210000,-2856.19680000
2.73000000,6911.63410000,-2836.23820000
2.73500000,6929.68580000,-2813.11030000
2.74000000,6931.02940000,-2790.62410000
2.74500000,6930.75730000,-2768.05180000
2.75000000,6906.99550000,-2747.21250000
2.75500000,6882.96890000,-2734.43040000
2.76000000,6857.73460000,-2726.38820000
2.76500000,6834.65530000,-2722.06380000
