omega_eV,Re_xx,Im_xx,Re_yy,Im_yy,Re_xy,Im_xy,Re_yx,Im_yx
2.24,3841.7624,-2885.5968,4635.4938,-3409.4812,-3.11758919,6.4813193,-3.56948121,4.2303403
2.245,3871.4428,-2899.9754,4618.3391,-3420.6144,-3.33715631,5.967482,-3.27605849,3.5233862
2.25,3886.8612,-2914.0579,4613.9034,-3433.7741,-2.77269941,5.00992426,-2.05419279,3.66813254
2.255,3904.6887,-2929.8347,4617.7752,-3447.2485,-1.19145242,4.37668814,-0.53696756,4.25725806
2.26,3922.5013,-2946.5332,4630.8742,-3460.5178,0.03556735,4.8119229,-0.05753523,5.4584927
2.265,3941.406,-2958.487,4651.479,-3472.4283,-1.46048133,5.96035815,-1.73660647,5.47843445
2.27,3951.6807,-2973.638,4679.3165,-3479.4191,-2.94323549,6.40287226,-3.15708291,4.85549794
2.275,3962.9528,-2994.075,4697.9373,-3487.9329,-4.89934121,6.8535156,-4.46695139,4.0533558
2.28,3984.5995,-3017.1757,4727.3146,-3497.5648,-6.20994945,5.9325859,-4.98674335,3.6507509
2.285,4017.0374,-3039.5949,4764.4738,-3502.8595,-6.48364032,5.29182366,-5.03427428,3.59416654
2.29,4053.7878,-3059.2553,4792.566,-3503.8849,-7.01476674,4.02129437,-5.19808046,3.87086663
2.295,4092.1938,-3078.4023,4817.0879,-3508.3103,-6.85448185,3.12872872,-5.27284435,3.84524268
2.3,4137.2228,-3096.6915,4845.4864,-3513.8287,-6.72973449,2.6837848,-5.47279671,3.407648
2.305,4186.6066,-3109.201,4879.7757,-3519.4699,-6.24698971,2.45953442,-4.86937429,2.71109698
2.31,4233.3943,-3118.6226,4924.8501,-3523.4789,-5.96978597,2.33177144,-4.84770863,2.41354136
2.315,4270.7933,-3124.7164,4977.6649,-3520.4933,-6.6014509,1.45346392,-4.2556143,2.09283108
2.32,4308.2146,-3133.1821,5014.0664,-3506.0663,-3.88062152,-0.037887,-2.14719228,2.4520066
2.325,4341.7286,-3139.5904,5024.1861,-3495.2433,-2.15741807,0.1729328,-0.89796853,3.256412
2.33,4365.3206,-3147.2747,5029.6518,-3490.6933,-2.05593773,0.3872798,-0.88125327,3.619865
2.335,4390.6129,-3158.708,5033.6112,-3489.0268,-1.55466869,0.5245035,-0.68952311,4.2421571
2.34,4419.5516,-3171.534,5039.7603,-3491.0068,-0.96754488,0.4965935,-0.58719162,4.7939159
2.345,4454.4522,-3179.8182,5050.5424,-3494.2031,0.02445347,0.6805476,-0.20264361,4.6708592
2.35,4488.2412,-3193.5234,5064.1621,-3497.9786,0.77426125,1.5948202,0.19693543,4.427724
2.355,4531.5312,-3203.6255,5079.6794,-3501.6413,1.4246278,2.39761736,0.8492436,4.37386504
2.36,4570.304,-3207.9607,5097.2411,-3504.2045,1.44800884,4.12976127,1.06455796,5.37953733
2.365,4600.9262,-3213.9518,5112.2096,-3507.0897,0.0545446,4.27071063,-0.37672356,5.64432797
2.37,4628.5457,-3220.7272,5128.4379,-3510.0884,-0.15802342,4.80494833,-0.75671284,5.57721087
2.375,4659.6089,-3229.2813,5144.6386,-3513.9133,-0.2981318,5.51069986,-0.85273762,5.43462734
2.38,4695.2527,-3236.2155,5165.1374,-3518.6696,-1.15645482,6.58641743,-1.49892178,6.21552817
2.385,4720.4633,-3241.8583,5188.2542,-3522.6234,-3.46719292,6.24720825,-3.57356088,5.53727875
2.39,4745.9678,-3251.4353,5217.0384,-3526.0768,-4.97358283,5.57081067,-4.54719897,5.73429913
2.395,4773.9418,-3262.3309,5251.5978,-3526.7173,-5.52048977,4.78226117,-5.06787543,5.09342743
2.4,4803.3273,-3274.2456,5283.0179,-3520.877,-4.86204572,3.82728685,-4.76956988,4.54640475
2.405,4834.4822,-3287.6504,5292.2557,-3513.8775,-3.3063364,3.34532326,-2.8960702,3.39872674
2.41,4870.8492,-3302.5289,5301.5514,-3514.1852,-1.18499885,2.81115785,-0.44750617,3.38830455
2.415,4913.913,-3316.9162,5318.0952,-3517.608,1.05320658,2.72280878,1.98631782,3.99761842
2.42,4960.0904,-3331.0916,5343.5948,-3519.0046,2.76765776,2.9423715,3.69111304,4.9908791
2.425,5010.7664,-3344.8647,5368.9536,-3520.2463,3.75846401,3.0888813,4.67220939,5.8250927
2.43,5067.9882,-3358.2582,5393.9555,-3515.18,5.18620155,3.3559168,6.08298085,6.8338714
2.435,5133.856,-3370.4792,5402.6627,-3512.865,6.42484838,3.6473949,7.12061342,8.0806639
2.44,5206.1116,-3379.4796,5411.0814,-3514.77,7.19165039,3.9314033,7.52334661,9.3540525
2.445,5289.2081,-3384.1759,5419.0183,-3519.2027,8.42564894,4.6348259,7.38659606,10.3905221
2.45,5408.6656,-3384.1036,5430.3639,-3526.2761,8.82169304,5.7761428,7.46738236,10.2978292
2.455,5472.7274,-3366.2402,5445.9642,-3535.5893,9.84699003,6.8590394,8.36765757,10.4527198
2.46,5556.799,-3352.1662,5464.7926,-3548.1125,10.8277319,8.015988,8.9701007,11.1032234
2.465,5646.3382,-3319.9051,5498.7072,-3562.9209,11.76914927,9.021739,10.00327273,11.559125
2.47,5694.6661,-3291.7058,5547.1511,-3574.9242,13.52907288,9.98868982,11.53506312,11.96520418
2.475,5742.4249,-3260.4572,5594.881,-3583.3317,14.8422917,11.31396611,12.7875563,13.14247589
2.48,5745.8074,-3239.7283,5648.0941,-3593.5962,16.13510859,13.01152433,14.14525141,13.70175567
2.485,5777.3361,-3229.6839,5712.2768,-3604.1197,17.67846313,14.59368292,15.71057887,15.08494708
