omega_eV,Re,Im
2.36500000,4600.92620000,-3213.95180000
2.37000000,4628.54570000,-3220.72720000
2.37500000,4659.60890000,-3229.28130000
2.38000000,4695.25270000,-3236.21550000
2.38500000,4720.46330000,-3241.85830000
2.39000000,4745.96780000,-3251.43530000
2.39500000,4773.94180000,-3262.33090000
2.40000000,4803.32730000,-3274.24560000
2.40500000,4834.48220000,-3287.65040000
2.41000000,4870.84920000,-3302.52890000
2.41500000,4913.91300000,-3316.91620000
2.42000000,4960.09040000,-3331.09160000
2.42500000,5010.76640000,-3344.86470000
2.43000000,5067.98820000,-3358.25820000
2.43500000,5133.85600000,-3370.47920000
2.44000000,5206.11160000,-3379.47960000
2.44500000,5289.20810000,-3384.17590000
2.45000000,5408.66560000,-3384.10360000
2.45500000,5472.72740000,-3366.24020000
2.46000000,5556.79900000,-3352.16620000
2.46500000,5646.33820000,-3319.90510000
2.47000000,5694.66610000,-3291.70580000
2.47500000,5742.42490000,-3260.45720000
2.48000000,5745.80740000,-3239.72830000
2.48500000,5777.33610000,-3229.68390000
2.49000000,5822.85320000,-3218.06470000
2.49500000,5869.54270000,-3202.94240000
2.50000000,5915.14890000,-3186.59120000
2.50500000,5960.41510000,-3168.79110000
2.51000000,6006.24530000,-3145.36710000
2.51500000,6045.34020000,-3121.87750000
2.52000000,6078.20800000,-3095.80100000
2.52500000,6105.34250000,-3067.52450000
2.53000000,6120.02130000,-3040.36450000
2.53500000,6131.58570000,-3014.06850000
2.54000000,6137.72340000,-2990.04660000
2.54500000,6140.71790000,-2966.34560000
2.55000000,6142.10510000,-2944.13620000
2.55500000,6134.75550000,-2922.08440000
2.56000000,6125.57080000,-2905.41850000
2.56500000,6119.77260000,-2889.96080000
2.57000000,6114.59040000,-2876.25930000
2.57500000,6112.27170000,-2863.65560000
2.58000000,6110.21230000,-2848.16400000
2.58500000,6095.72250000,-2833.62020000
2.59000000,6078.05690000,-2823.10690000
2.59500000,6059.40270000,-2814.90800000
2.60000000,6040.47380000,-2808.63070000
2.60500000,6011.42070000,-2804.18770000
2.61000000,5983.06720000,-2807.43290000
2.61500000,5962.83520000,-2814.55780000
2.62000000,5947.68530000,-2824.17970000
2.62500000,5941.30420000,-2835.62390000
2.63000000,5941.29500000,-2848.05880000
2.63500000,5948.97540000,-2861.16620000
2.64000000,5962.79210000,-2872.99560000
2.64500000,5978.72810000,-2883.95620000
2.65000000,5995.47790000,-2894.79700000
2.65500000,6017.42570000,-2905.85030000
2.66000000,6044.87090000,-2915.61790000
2.66500000,6070.14330000,-2922.12240000
2.67000000,6094.20230000,-2930.45980000
2.67500000,6119.98150000,-2937.83700000
2.68000000,6144.66860000,-2944.90060000
2.68500000,6167.65660000,-2952.05620000
2.69000000,6191.28790000,-2960.24480000
2.69500000,6215.00710000,-2968.35360000
2.70000000,6239.89950000,-2977.70060000
2.70500000,6267.95840000,-2987.74160000
2.71000000,6298.67150000,-2997.99410000
2.71500000,6332.85940000,-3008.13270000
2.72000000,6367.83980000,-3017.20450000
2.72500000,6404.66080000,-3027.11040000
2.73000000,6445.68050000,-3037.12480000
2.73500000,6492.55700000,-3046.18520000
2.74000000,6542.18660000,-3053.73530000
2.74500000,6594.11830000,-3059.82260000
2.75000000,6648.98130000,-3065.37990000
2.75500000,6709.14500000,-3069.58370000
2.76000000,6773.90370000,-3071.81250000
2.76500000,6842.22810000,-3070.85160000
2.77000000,6901.09250000,-3065.12670000
2.77500000,6968.46470000,-3061.75400000
2.78000000,7044.91000000,-3054.85770000
2.78500000,7124.80350000,-3040.28970000
2.79000000,7190.21870000,-3023.69980000
2.79500000,7261.51550000,-3008.04870000
2.80000000,7332.31170000,-2986.11270000
2.80500000,7390.40870000,-2961.86720000
2.81000000,7440.54580000,-2940.34530000
2.81500000,7492.54760000,-2921.56130000
2.82000000,7549.94570000,-2903.53810000
2.82500000,7623.41800000,-2883.63190000
2.83000000,7697.64100000,-2848.12780000
2.83500000,7748.79200000,-2809.81190000
2.84000000,7781.55050000,-2768.96570000
2.84500000,7790.64090000,-2735.41670000
2.85000000,7803.67790000,-2710.64560000
2.85500000,7835.38750000,-2689.19900000
2.86000000,7883.43800000,-2660.91730000
2.86500000,7914.49000000,-2622.37430000
2.87000000,7934.43030000,-2589.59310000
2.87500000,7950.57860000,-2555.84850000
2.88000000,7962.43550000,-2523.65870000
2.88500000,7959.90570000,-2489.96790000
2.89000000,7950.55230000,-2463.62970000
2.89500000,7944.51110000,-2443.92190000
2.90000000,7950.22690000,-2425.40420000
2.90500000,7955.06340000,-2404.12230000
2.91000000,7957.41680000,-2385.21220000
2.91500000,7952.55460000,-2366.27830000
2.92000000,7951.57250000,-2351.45400000
2.92500000,7953.78000000,-2337.78460000
2.93000000,7957.11620000,-2324.90920000
2.93500000,7964.39180000,-2313.96470000
2.94000000,7975.73530000,-2303.68470000
2.94500000,7992.05890000,-2293.87950000
2.95000000,8013.75190000,-2283.95490000
2.95500000,8044.44810000,-2273.90540000
2.96000000,8083.51730000,-2259.80840000
2.96500000,8121.02910000,-2239.11700000
