omega_eV,Re,Im
2.76500000,6749.70770000,-2695.99040000
2.77000000,6731.17710000,-2699.01920000
2.77500000,6719.22420000,-2704.16450000
2.78000000,6712.88500000,-2710.27500000
2.78500000,6711.13460000,-2716.69430000
2.79000000,6712.91330000,-2723.70500000
2.79500000,6723.48830000,-2730.79320000
2.80000000,6741.07440000,-2737.24630000
2.80500000,6763.15910000,-2740.80410000
2.81000000,6787.30940000,-2742.54280000
2.81500000,6811.54860000,-2742.14030000
2.82000000,6835.99700000,-2739.80210000
2.82500000,6860.78170000,-2736.65540000
2.83000000,6887.88970000,-2728.55770000
2.83500000,6897.83930000,-2719.72420000
2.84000000,6907.04180000,-2717.45960000
2.84500000,6924.09210000,-2715.24830000
2.85000000,6947.62050000,-2712.46920000
2.85500000,6975.09390000,-2709.64160000
2.86000000,7003.33220000,-2704.96700000
2.86500000,7035.61490000,-2699.16830000
2.87000000,7066.78990000,-2691.05320000
2.87500000,7096.64360000,-2683.29820000
2.88000000,7131.81820000,-2674.74840000
2.88500000,7171.62600000,-2666.62490000
2.89000000,7225.70360000,-2654.66250000
2.89500000,7276.19780000,-2633.09900000
2.90000000,7315.76350000,-2611.08040000
2.90500000,7357.48300000,-2586.79480000
2.91000000,7403.14370000,-2561.35170000
2.91500000,7452.53560000,-2524.93570000
2.92000000,7475.08720000,-2483.94390000
2.92500000,7482.99380000,-2444.26490000
2.93000000,7473.17880000,-2406.19130000
2.93500000,7451.32660000,-2378.78190000
2.94000000,7445.48600000,-2357.89560000
2.94500000,7455.01510000,-2335.21400000
2.95000000,7470.80260000,-2305.38320000
2.95500000,7457.02610000,-2260.38480000
2.96000000,7410.26020000,-2234.96100000
2.96500000,7370.02780000,-2215.92890000
2.97000000,7335.32070000,-2207.87080000
2.97500000,7315.40250000,-2202.55730000
2.98000000,7303.80290000,-2197.73000000
2.98500000,7292.10460000,-2193.11070000
2.99000000,7284.08580000,-2189.39770000
2.99500000,7279.88630000,-2186.91300000
3.00000000,7278.66240000,-2183.73260000
3.00500000,7276.84400000,-2179.59600000
3.01000000,7274.66120000,-2176.15170000
3.01500000,7272.54940000,-2172.09040000
3.02000000,7268.23890000,-2170.09180000
3.02500000,7260.37730000,-2163.99060000
3.03000000,7246.13040000,-2158.25480000
3.03500000,7221.30790000,-2160.10770000
3.04000000,7204.40300000,-2167.40630000
3.04500000,7191.71110000,-2179.32960000
3.05000000,7192.54500000,-2192.93270000
3.05500000,7203.01920000,-2206.87060000
3.06000000,7223.93610000,-2218.53280000
3.06500000,7254.78410000,-2228.76150000
3.07000000,7300.00970000,-2236.99870000
3.07500000,7362.58320000,-2238.85970000
3.08000000,7428.47100000,-2227.26520000
3.08500000,7470.83570000,-2202.80750000
3.09000000,7483.29420000,-2180.26870000
3.09500000,7486.41600000,-2163.51160000
3.10000000,7482.34010000,-2148.22210000
3.10500000,7467.43410000,-2141.22220000
3.11000000,7457.84260000,-2141.15990000
3.11500000,7461.07180000,-2145.21140000
3.12000000,7474.34950000,-2147.68500000
3.12500000,7485.76680000,-2148.73550000
3.13000000,7495.75470000,-2154.62990000
