case_label,path,strain_percent,k1_centered,k2_centered,k3_centered,omega3_reduced,num_occupied,slice_mode
Strain_b_Tension_0.5pct,b,0.5,-0.042653333999999876,-0.1282062518749999,0.0,-1.0545269086509168,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.03877470999999988,-0.1282062518749999,0.0,-0.7995607672333693,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.03489608599999988,-0.1282062518749999,0.0,-0.5636878619638082,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.031017461999999885,-0.1282062518749999,0.0,-0.34374084490862433,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.027138837999999887,-0.1282062518749999,0.0,-0.13770457700044947,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.02326021399999989,-0.1282062518749999,0.0,0.055281590602717756,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.019381589999999893,-0.1282062518749999,0.0,0.2350103196594442,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.015502965999999896,-0.1282062518749999,0.0,0.4003652909818989,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.011624341999999899,-0.1282062518749999,0.0,0.549544274977591,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.0077457179999999015,-0.1282062518749999,0.0,0.6803371323003433,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.0038670939999999043,-0.1282062518749999,0.0,0.7904437370613335,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,1.1530000000092855e-05,-0.1282062518749999,0.0,0.8778090822780289,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,0.00389015400000009,-0.1282062518749999,0.0,0.9409463547174175,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,0.007768778000000087,-0.1282062518749999,0.0,0.9792160521365632,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,0.011647402000000084,-0.1282062518749999,0.0,0.9930315844685982,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,0.015526026000000082,-0.1282062518749999,0.0,0.9839690184224472,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,0.01940465000000008,-0.1282062518749999,0.0,0.9547689353481847,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,0.023283274000000076,-0.1282062518749999,0.0,0.9092289986136048,56,fixed_k3
