state,lambda_nm,theta_deg,r_pp_real,r_pp_imag,abs_r_pp,arg_r_pp_deg,r_ss_real,r_ss_imag,abs_r_ss,arg_r_ss_deg,r_ps_real,r_ps_imag,abs_r_ps,arg_r_ps_deg,r_sp_real,r_sp_imag,abs_r_sp,arg_r_sp_deg
0%,717.3,70.5,-0.009802705452396903,-0.08316657901836255,0.08374230054043173,-96.72234109074778,-0.7756815121464697,0.08693958895607934,0.7805384682472004,173.6048899395808,0.00035258414172895835,0.0010009285716661412,0.0010612132597062514,70.59482854213091,0.0003678341225344466,0.0009558415243364099,0.0010241752590970151,68.95190160285907
0%,718.25,70.5,-0.009403625676738428,-0.0822640258040624,0.08279974708511892,-96.52119238679356,-0.7758240892737838,0.0864258092668393,0.7806231088079086,173.64353104278797,0.00038146471724548727,0.0010320088841288587,0.001100253455992787,69.71401534975958,0.0003993977631380009,0.0009887259227891305,0.001066347749842825,68.00365865374907
0%,719.2,70.5,-0.00890568138624347,-0.08140205664461499,0.0818877645739972,-96.24353595476558,-0.7760351455944839,0.08590089043323408,0.7807749420768282,173.68352920606074,0.00041385860621188095,0.0010832215004844678,0.001159589481259408,69.09000473285397,0.00045393060590141423,0.0010075674374163187,0.0011050996045224666,65.74742036418385
0%,720.15,70.5,-0.008273400827872594,-0.08056653404078422,0.08099021896873403,-95.86316829604496,-0.7763262125791853,0.085344065232813,0.7810031996144479,173.7264801895637,0.0004535721608234793,0.0011738914039011643,0.0012584707915669424,68.87429518853924,0.000548310793203487,0.0010090839382937776,0.0011484315915481938,61.4814573558577
0%,721.0999999999999,70.5,-0.007668402950971689,-0.07980821947960562,0.08017578375247338,-95.48843754352417,-0.7766382918140636,0.08482417417844637,0.7812567931460962,173.76688061974173,0.000527824799078255,0.0012304734549358945,0.0013389040076958007,66.78256768669273,0.0006248644173959659,0.0010253194856250393,0.0012007229437842834,58.64045538879856
0%,722.05,70.5,-0.0071112987874656945,-0.0791368331969002,0.07945570425638813,-95.1348527165895,-0.7769454371944817,0.08436344549895224,0.7815122541034012,173.80290367150639,0.0006463422242953275,0.001263027977933549,0.0014188015872383076,62.899347359178364,0.0006773948942562863,0.001046204131271209,0.001246357463592781,57.07780283613287
0%,723.0,70.5,-0.006604889895729196,-0.0784966117861275,0.07877399718458317,-94.80967253379258,-0.7772904133073296,0.08388069066752672,0.7818032724965664,173.84080562209078,0.0007635810387422288,0.0012836071103168375,0.0014935538880075947,59.25280044255362,0.0007351889209135394,0.0010694852033541371,0.001297806360605254,55.49446585739494
0%,723.95,70.5,-0.006160111074378378,-0.07785762958564832,0.07810094399650173,-94.52382939781333,-0.7776845274395567,0.0833243045193406,0.7821356429306354,173.88442634152563,0.0008629070364634391,0.0012766674043554424,0.0015409374467906791,55.945007112674524,0.0008073840304110105,0.0011171892985545697,0.001378397947389497,54.14465276403124
0%,724.9,70.5,-0.005758586651983542,-0.07724462014690078,0.07745897405638286,-94.26351375026584,-0.7781622835556583,0.08273457953434875,0.7825481136641262,173.93108503661185,0.0009575297240301794,0.0012616870595477726,0.0015838931178054965,52.80411685108398,0.0008869310354452343,0.0011694078862616588,0.0014677061920176382,52.821699772584445
0%,725.8499999999999,70.5,-0.0053815649311873045,-0.07668173083901324,0.07687033943970496,-94.01446629367373,-0.7787683520735614,0.08211889040263672,0.7830859840096303,173.9805687335167,0.001045879631192962,0.0012629079676067883,0.001639756304329712,50.37008049045097,0.0009717763236479045,0.001192748448690312,0.0015385051462558658,50.82902072916077
0%,726.8,70.5,-0.005041943357850195,-0.07614668040371801,0.07631342037498871,-93.78822825531327,-0.7794820451485732,0.08144808229226892,0.7837257484720599,174.03481053331228,0.0011323310472289073,0.001267728779471225,0.00169979700517977,48.22887969962798,0.0010628721590849827,0.001200070437726485,0.00160308024816695,48.469496698370385
0%,727.75,70.5,-0.00479225915826736,-0.07559900697702279,0.07575074655573988,-93.62715513844617,-0.7803373582117628,0.08075365111953309,0.7845046493106642,174.09174509934178,0.001229772418604467,0.0012693628006581002,0.0017673771870358789,45.9075827742594,0.0011601919509078866,0.0012087230166365542,0.001675427316805602,46.17363280933009
0%,728.7,70.5,-0.004605995017806563,-0.07504099774547543,0.07518222218543762,-93.51239206847882,-0.7813804776433514,0.08007216705541109,0.7854724710510876,174.14902381435542,0.0013365598524297394,0.0012675419408461354,0.001842024649924912,43.48181452420381,0.0012638255234320532,0.0012147462951452004,0.0017529585035725443,43.86561076059027
0%,729.65,70.5,-0.004382315676702713,-0.07446102938392435,0.07458987590554042,-93.3681899351267,-0.7823468263978958,0.0795661742902872,0.7863824342303506,174.19287586488872,0.0014326861145826,0.001249430658008829,0.001900964616212033,41.091344239144355,0.0013561975228569083,0.0012111902271642904,0.001818310613559053,41.767341321828695
0%,730.5999999999999,70.5,-0.004104852505432765,-0.0738499253986808,0.0739639188759092,-93.18143802835814,-0.7833903672509217,0.0792986094216697,0.7873936353297152,174.2199287463814,0.0015322291834147692,0.001209295135991502,0.0019519531235254078,38.28188118151119,0.0014456013168090867,0.0012001189957029533,0.0018788424018547246,39.69900656097502
0%,731.55,70.5,-0.0037935612541266837,-0.07324132307829298,0.07333950172483927,-92.96500639044966,-0.7841747245470517,0.07928285569947154,0.788172423918972,174.22681047386646,0.0015881139958189511,0.0011595125290364981,0.0019663609456833328,36.13389948299315,0.0015016886662372398,0.0011712128445092857,0.0019044181204370305,37.95175624266806
0%,732.5,70.5,-0.0034401045604283624,-0.07263962519204802,0.07272103868501809,-92.71141699061288,-0.7846843703908422,0.07939743487586269,0.7886910128818124,174.22225317651086,0.0016055646238930467,0.0011139741116803705,0.0019541688982764238,34.753717161730776,0.00153110515984871,0.0011215416015751723,0.0018979300763144955,36.22294861358627
0%,733.45,70.5,-0.00306166587106034,-0.07205812278305934,0.07212313676570418,-92.43296769065968,-0.7850670571469138,0.07959308748998843,0.789091467317639,174.2109163426345,0.0016204214265516555,0.0010762570766636441,0.0019452750177536015,33.591454149486154,0.001557201025855003,0.0010742520359223796,0.0018917960967311598,34.60027431699248
0%,734.4,70.5,-0.002670462866796014,-0.0715283351660991,0.0715781677856925,-92.13810682528319,-0.7853052648273486,0.07989545532726472,0.7893590075165439,174.19082486759302,0.001638918986346487,0.0010486954588209288,0.0019457177619476662,32.613967774391035,0.0015794700400029835,0.0010462391419454465,0.0018945558712811217,33.52044546791676
0%,735.3499999999999,70.5,-0.002278327047408239,-0.07102800075962036,0.07106453170213382,-91.83721602817826,-0.7854869611536183,0.08021881110667602,0.7895725576523759,174.16881539091344,0.0016644966062494282,0.0010287212180318224,0.0019567361336278173,31.71761741447193,0.0016007620067690436,0.001025911956240181,0.0019012980682343867,32.65539382996624
0%,736.3,70.5,-0.0019773822012854915,-0.07051299086671271,0.07054071109181613,-91.60631351329491,-0.7855789244612117,0.08053930109998453,0.7896966668153717,174.14636072116716,0.0016967994464058783,0.0010037777836054912,0.001971471075157647,30.60733918931637,0.0016282017989153782,0.0010059105554301568,0.0019138696777777425,31.707962922082974
0%,737.25,70.5,-0.001761676361902154,-0.06998179005177975,0.07000396019123106,-91.4420223794,-0.7855030351561849,0.08094764794140098,0.789662928056537,174.11632510770596,0.001739495737265218,0.0009754270506698542,0.0019943177658393245,29.281649588191414,0.0016641742740531398,0.0009892014458393475,0.001935974048088184,30.727663356776073
0%,738.2,70.5,-0.0014109789670662192,-0.06946805293061446,0.06948238078546357,-91.16358559084408,-0.7853933657218839,0.08134528431565526,0.7895947024900456,174.08680743989493,0.001784064512647113,0.0009429182962093313,0.002017915037511017,27.85746094787188,0.0017037460497918413,0.0009693734018467601,0.0019602130992290774,29.638400185692618
0%,739.15,70.5,-0.0005075219245255687,-0.06887869971343624,0.06888056948601395,-90.42216734882005,-0.7852802010042024,0.08172560816520266,0.7895214177710271,174.05850803934092,0.0018331244881698153,0.0009069906042318569,0.0020452328340051446,26.32521621813655,0.0017517485906026206,0.0009470947128136134,0.00199138432245455,28.398172257744054
