state,lambda_nm,scenario,theta_deg,abs_r_pp,arg_r_pp_deg,abs_r_ss,arg_r_ss_deg,abs_r_ps,arg_r_ps_deg,abs_r_sp,arg_r_sp_deg
a +0.5%,413.3,replace_xy,70.5,0.27039649303897895,-15.726652485351803,0.8505971007848165,178.0423854628813,0.0008542459103438342,39.58594173648109,0.0008479704327888052,41.57847564769905
a +0.5%,413.3,replace_yx,70.5,0.27039661813531773,-15.726624393191472,0.8505971302061988,178.04238702271942,0.0008684162531907273,40.02769544597079,0.0008591886241983591,39.78411807257375
a +0.5%,413.3,replace_yy,70.5,0.2703966574890477,-15.726630164722593,0.8488169047830434,178.02417104161023,0.0008642913643998894,39.535768783083554,0.0008692923945556317,39.73395111846612
a +0.5%,413.3,nonlinear_residual,70.5,2.6548740223447978e-09,174.87782775671596,,,,,,
a +0.5%,413.3,nonlinear_residual,70.5,,,1.1239313991658947e-09,-3.723419641848515,,,,
a +0.5%,413.3,nonlinear_residual,70.5,,,,,1.4065143106118657e-07,17.597112506467766,,
a +0.5%,413.3,nonlinear_residual,70.5,,,,,,,2.5754843265381833e-07,129.57574908716842
a +0.5%,414.25,baseline,70.5,0.27018953970006354,-15.926013806695915,0.8507249541587926,178.0413004865428,0.0008246903677262047,40.54843633615766,0.0008199745811094093,37.05620425591158
a +0.5%,414.25,full,70.5,0.27044925368470485,-15.160554666806785,0.8488526875483672,178.02128502259103,0.000853912082953079,37.97868725487064,0.0008574826213522228,37.96929589543273
a +0.5%,414.25,replace_xx,70.5,0.27044911404336464,-15.16061993957867,0.8507249574707335,178.04130028898263,0.0008229783665176972,40.29596244146679,0.0008182723695537253,36.80373036122074
a +0.5%,414.25,replace_xy,70.5,0.2701894633740159,-15.925978648707012,0.8507249438283356,178.0413029098134,0.0008246903785767372,40.54842229828262,0.0008487454744646044,38.2701457485878
a +0.5%,414.25,replace_yx,70.5,0.2701897318653161,-15.925996314641708,0.8507249956768901,178.0413012113175,0.0008452110687135637,38.279550700197476,0.0008199743506862412,37.056203810208316
a +0.5%,414.25,replace_yy,70.5,0.27018955058624716,-15.926002358691994,0.848852650738074,178.0212819230084,0.0008349133560533622,40.500061242770805,0.0008301391118221414,37.00782916252474
a +0.5%,414.25,nonlinear_residual,70.5,1.1666360034783865e-08,25.20136006020527,,,,,,
a +0.5%,414.25,nonlinear_residual,70.5,,,3.134052235057122e-09,-139.8958646081745,,,,
a +0.5%,414.25,nonlinear_residual,70.5,,,,,4.928444149969641e-07,-49.19529046346256,,
a +0.5%,414.25,nonlinear_residual,70.5,,,,,,,3.6504404090549795e-07,35.486248270141616
a +0.5%,415.2,baseline,70.5,0.26989890051988014,-16.116795686083133,0.8509810701600508,178.04281167600234,0.0007939793491557027,41.13401318544582,0.0007650100757859168,37.03479130390949
a +0.5%,415.2,full,70.5,0.26987137988122367,-15.331286365036068,0.8489535878853438,178.02147471495846,0.000826344937077297,37.56146072495494,0.0008195594760422334,35.77893076012641
a +0.5%,415.2,replace_xx,70.5,0.2698710024312744,-15.331361180597558,0.850981073410087,178.04281151279207,0.000792569518366083,40.867838365755105,0.0007636516843361152,36.768616484218775
a +0.5%,415.2,replace_xy,70.5,0.26989899641662796,-16.116747928294338,0.8509810966900424,178.04281453212437,0.0007939791647993698,41.1339998722643,0.0008101301640166595,36.09948148837861
a +0.5%,415.2,replace_yx,70.5,0.2698991443068224,-16.116778650893654,0.8509811219807735,178.04281224638794,0.0008168374646481748,37.8820260316928,0.0007650098125983702,37.034792569213636
a +0.5%,415.2,replace_yy,70.5,0.26989891059524185,-16.116784482647333,0.8489535006292431,178.02147142434353,0.000804649754376634,41.079635521733366,0.0007752911586823565,36.980413640197035
a +0.5%,415.2,nonlinear_residual,70.5,2.2829315004837776e-08,-17.265525907532414,,,,,,
a +0.5%,415.2,nonlinear_residual,70.5,,,5.679311841345439e-09,-179.36573132713073,,,,
a +0.5%,415.2,nonlinear_residual,70.5,,,,,7.094826667369597e-07,-51.652697505318756,,
a +0.5%,415.2,nonlinear_residual,70.5,,,,,,,6.235414848756135e-07,-9.802565142670407
a +0.5%,416.15,baseline,70.5,0.27033877919337074,-16.274055994364474,0.8514485656409624,178.0470763770681,0.0008009530547494483,40.766691308420405,0.0007663176444113822,37.210892877819035
a +0.5%,416.15,full,70.5,0.2696352948374147,-15.466155392063222,0.8491473653150317,178.0227143181912,0.0008139772679699169,37.04313949290247,0.0007993724552458068,34.789339584081915
a +0.5%,416.15,replace_xx,70.5,0.2696348708021497,-15.46617832415452,0.8514485694571218,178.0470762453943,0.0008001518192108275,40.47411810851232,0.000765551056498478,36.91831967791094
a +0.5%,416.15,replace_xy,70.5,0.2703389413709882,-16.27403611332868,0.8514486013451482,178.04707729450138,0.0008009528550801295,40.7666893188498,0.0007881121031630739,35.14309579368161
a +0.5%,416.15,replace_yx,70.5,0.2703390156999434,-16.274061756521675,0.8514486123917617,178.047075492554,0.000802511160208211,37.39690648444478,0.0007663174293788839,37.210901670191035
a +0.5%,416.15,replace_yy,70.5,0.27033879083260004,-16.274043084768888,0.8491472756502395,178.0227146061064,0.0008132106080159376,40.70549834832787,0.00077804514740263,37.14969991772649
a +0.5%,416.15,nonlinear_residual,70.5,1.826656798787828e-08,-64.58833255503689,,,,,,
a +0.5%,416.15,nonlinear_residual,70.5,,,4.422266183550044e-09,138.13126073801416,,,,
a +0.5%,416.15,nonlinear_residual,70.5,,,,,7.983414483141357e-07,-72.07025189638951,,
a +0.5%,416.15,nonlinear_residual,70.5,,,,,,,6.079112709187971e-07,-42.41817269575972
a +0.5%,417.1,baseline,70.5,0.27028435721709543,-16.507917935498945,0.8522735895597214,178.05250584814863,0.0007990148721467765,37.81080268363805,0.0007709423130152079,36.45470216981971
a +0.5%,417.1,full,70.5,0.2696682210563679,-15.594944255871962,0.8493933106715444,178.0223227823379,0.0008010418605861855,36.6973426697478,0.0007845537749021054,33.71552204830492
