omega_eV,Re_xx,Im_xx,Re_yy,Im_yy,Re_xy,Im_xy,Re_yx,Im_yx
1.665,2715.6123,-1090.3879,3116.7472,-2771.6107,-18.57991681,-6.2820554,-17.56255719,0.116151
1.67,2706.9826,-1094.3051,3129.6371,-2764.5758,-16.6638959,-9.1010988,-19.8303781,0.417966600000001
1.675,2675.7508,-1110.5925,3150.4291,-2756.7411,-14.7571938,-5.66703414,-18.7623382,-4.47907806
1.68,2659.8201,-1130.6676,3187.1582,-2743.3601,-13.7050304,-4.3809402,-17.2350996,-6.872387
1.685,2648.9033,-1150.6839,3212.0018,-2708.9529,-12.92676987,-3.3922246,-14.84356213,-8.1329002
1.69,2638.505,-1169.5428,3192.903,-2672.9334,-12.49283066,-3.5896294,-13.61271934,-8.2175072
1.695,2628.4563,-1188.9503,3143.1078,-2644.7185,-12.62378397,-4.0520662,-12.97168803,-8.2651486
1.7,2620.9874,-1206.7315,3074.178,-2626.2809,-11.38092845,-5.2283733,-11.76170155,-7.9861647
1.705,2611.7206,-1222.7546,3005.8959,-2621.3653,-10.27374548,-5.3523742,-10.60073852,-8.4207476
1.71,2590.8657,-1237.3232,2949.6276,-2627.4271,-9.36740788,-5.022725,-9.51385652,-9.153395
1.715,2568.3826,-1256.7125,2904.0606,-2635.8071,-8.41229766,-6.2451162,-8.02320854,-8.8961168
1.72,2543.932,-1278.8601,2858.9106,-2648.9023,-6.04128729,-7.2908462,-6.26441391,-8.0369144
1.725,2520.5071,-1306.5614,2823.7839,-2667.1964,-4.22100183,-6.2981083,-5.17071917,-8.3927473
1.73,2507.8566,-1337.2373,2801.5069,-2687.9115,-3.5099826,-4.6551045,-4.3863506,-8.7611491
1.735,2504.1074,-1368.1645,2793.8338,-2708.2462,-3.82664076,-3.363092,-4.30051244,-9.289824
1.74,2506.2404,-1398.1392,2794.315,-2720.1607,-4.42305359,-3.1392224,-3.57947001,-9.2378876
1.745,2513.9003,-1427.5118,2770.6415,-2728.3234,-4.67977656,-3.2679269,-3.17014964,-8.2594599
1.75,2527.6571,-1454.9183,2748.3019,-2747.8232,-5.17413322,-3.8115819,-3.31093078,-7.2175395
1.755,2543.219,-1476.7602,2733.8376,-2768.6772,-5.15522007,-4.43691834,-3.67107813,-6.12957966
1.76,2552.8711,-1499.9174,2724.1031,-2790.2308,-5.06068476,-4.42331676,-4.06517164,-5.61192804
1.765,2561.5374,-1520.3836,2718.5517,-2811.878,-4.88219246,-3.8120289,-4.67456854,-5.9040507
1.77,2565.5794,-1542.5231,2716.9773,-2832.9487,-5.4569522,-3.3307145,-4.8177454,-5.8048083
1.775,2571.932,-1565.9769,2717.2866,-2852.4953,-5.838419,-3.0781938,-5.182413,-6.0050538
1.78,2580.0316,-1589.3418,2715.5779,-2872.4343,-5.87881413,-2.6581086,-5.18884707,-6.1185694
1.785,2589.381,-1612.511,2717.4103,-2892.9071,-6.6037547,-1.7628563,-5.4650141,-7.0574465
1.79,2597.0387,-1635.4835,2721.9708,-2912.2202,-7.5825047,-2.6474148,-5.0696689,-6.6321336
1.795,2607.6553,-1659.6404,2729.8184,-2928.8313,-7.0651241,-3.8870901,-4.5327445,-5.9901387
1.8,2620.2743,-1683.5958,2723.3862,-2943.9187,-5.8632522,-3.919412,-3.695654,-6.0357016
1.805,2639.3076,-1705.6157,2717.0987,-2964.4561,-5.1726233,-3.54194,-2.8810139,-5.5940306
1.81,2650.449,-1726.679,2715.1363,-2986.9446,-5.22461457,-3.67269088,-3.34584903,-4.67594572
1.815,2666.3877,-1747.5427,2715.5494,-3009.4041,-5.3610243,-4.39520305,-2.9872425,-4.23726755
1.82,2683.8491,-1768.4477,2718.9609,-3034.1527,-5.1746687,-4.30019441,-3.0185923,-4.04565339
1.825,2703.7672,-1785.6515,2727.2166,-3058.921,-4.64472958,-4.95974128,-3.17949942,-3.35585092
1.83,2713.7013,-1804.7236,2739.2367,-3084.1411,-4.3915331,-3.9822131,-3.1515129,-4.0778969
1.835,2724.7757,-1820.9339,2755.6425,-3109.1361,-4.62150162,-3.59057535,-2.65550918,-4.28588065
1.84,2732.8961,-1840.7335,2778.0531,-3133.5917,-3.80217192,-3.29607809,-2.02772568,-4.49884091
1.845,2741.4071,-1860.8094,2801.0101,-3153.3203,-3.8687008,-3.63680891,-1.7134734,-3.35652189
1.85,2750.9483,-1881.4326,2815.8799,-3175.5358,-3.76804789,-3.3652126,-1.94923231,-2.9330174
1.855,2762.4942,-1903.3075,2835.2536,-3197.0406,-3.93555661,-3.2412198,-2.25623279,-2.6946684
1.86,2779.8252,-1925.3947,2859.4524,-3221.65,-4.08574951,-3.18503212,-2.51116769,-2.13285468
1.865,2792.2689,-1942.1075,2889.3019,-3245.2951,-4.37266383,-2.77403311,-3.22978437,-2.19686509
1.87,2805.0924,-1962.6406,2928.1048,-3266.2427,-4.82446574,-2.11360412,-3.52577026,-2.55576868
1.875,2815.0677,-1982.3619,2960.4515,-3280.8935,-5.34263897,-2.34569176,-3.83368423,-2.00271704
1.88,2825.9089,-2003.1478,2983.0026,-3298.8643,-5.77956914,-2.25676687,-4.31286066,-1.93587713
1.885,2837.0342,-2023.9996,3012.8131,-3320.1518,-6.07232533,-2.23338855,-4.65478007,-1.94905845
1.89,2847.582,-2045.5886,3053.0868,-3339.9732,-6.274985,-2.07689966,-4.6805906,-2.10637414
1.895,2861.5637,-2066.5106,3093.7268,-3356.2254,-6.03176325,-2.41754567,-4.48279275,-1.28119833
1.9,2872.2958,-2087.094,3136.2086,-3370.8173,-6.44088185,-2.06916742,-5.18378735,-1.29864298
1.905,2881.999,-2109.1061,3179.3367,-3381.5194,-6.91146252,-1.79373039,-5.64603528,-1.61555981
1.91,2894.1462,-2132.0362,3212.6498,-3389.882,-6.99140977,-1.83343175,-5.61064123,-1.73313425
1.915,2907.6258,-2155.2041,3241.2338,-3398.7211,-6.87063686,-1.71322659,-5.40600794,-1.74050661
1.92,2922.9547,-2178.7074,3267.415,-3410.0446,-6.95982806,-1.65778957,-5.41034834,-1.58375003
1.925,2941.0321,-2202.2378,3301.0077,-3423.7302,-7.06057414,-1.71671221,-5.41886366,-1.34278039
1.93,2961.6094,-2225.2613,3345.0359,-3434.9873,-6.96903837,-1.68875551,-5.45024563,-1.13970529
1.935,2984.3635,-2247.6552,3397.0623,-3441.8075,-7.13013275,-1.23580169,-5.41547085,-0.90928731
1.94,3009.4361,-2269.5876,3451.133,-3445.8937,-8.30617426,-1.44441338,-6.58396194,-0.49078482
1.945,3038.345,-2290.5727,3509.5277,-3448.1137,-8.77904044,-1.90261161,-7.07225336,-0.26529039
1.95,3070.5949,-2308.3059,3572.3944,-3439.3566,-8.94013685,-2.1511127,-8.36276575,-0.0551657000000001
1.955,3096.8247,-2323.0153,3606.5364,-3424.0661,-9.2335642,-1.54362798,-8.3110564,-2.09895682
1.96,3116.016,-2338.5134,3618.8546,-3414.2379,-8.33804247,-1.55542699,-6.69465653,-2.27033361
