omega_eV,Re,Im
3.01000000,-12.25439700,-10.79957300
3.01500000,-9.67401300,-10.63711500
3.02000000,-8.10368430,-10.51686100
3.02500000,-6.87854560,-10.24189000
3.03000000,-5.19784760,-10.04718700
3.03500000,-3.64744130,-9.40190370
3.04000000,-3.14529960,-8.68322040
3.04500000,-3.00445530,-7.99701460
3.05000000,-3.82448450,-7.85785800
3.05500000,-3.23982200,-7.84818850
3.06000000,-1.52075370,-7.82950010
3.06500000,-0.08864869,-7.08372210
3.07000000,0.12766736,-6.72721550
3.07500000,1.80321380,-6.26408770
3.08000000,2.22628130,-4.82790340
3.08500000,1.92189350,-4.38231330
3.09000000,2.73251320,-3.77568440
3.09500000,3.65373690,-2.40005270
3.10000000,2.79024350,-1.12723310
3.10500000,1.49588640,0.36463935
3.11000000,-0.81774601,1.11314690
3.11500000,-4.07616280,1.59232280
3.12000000,-6.92018050,1.24970000
3.12500000,-8.37330920,0.70647703
3.13000000,-8.74229420,0.18373532
3.13500000,-8.57406410,-0.22989434
3.14000000,-8.64097980,0.14332719
3.14500000,-9.65848980,0.12190417
3.15000000,-10.41394800,-0.04147975
3.15500000,-11.23026400,-0.04759840
3.16000000,-13.03534400,-0.23122417
3.16500000,-13.88994200,-1.62085180
3.17000000,-11.10692400,-2.65029470
3.17500000,-7.21061200,-2.27119800
3.18000000,-3.77331560,-0.78218179
3.18500000,-3.34201930,1.46708470
3.19000000,-4.92278330,4.22779400
3.19500000,-11.22757200,6.18303460
3.20000000,-19.06732500,6.00085550
3.20500000,-24.57034400,4.46300280
3.21000000,-28.30098900,2.95482930
3.21500000,-31.76180600,1.24997790
3.22000000,-34.64084900,-1.86438970
3.22500000,-34.44260200,-4.83381940
3.23000000,-31.21130900,-7.31001720
3.23500000,-27.38795700,-8.59712450
3.24000000,-23.41845900,-8.68585590
3.24500000,-22.38269900,-7.93555840
3.25000000,-23.17885100,-7.83955010
3.25500000,-23.02058600,-7.92208580
3.26000000,-23.42732900,-8.10665510
3.26500000,-23.72227500,-8.41900710
3.27000000,-24.47312700,-9.08455870
3.27500000,-21.01858700,-8.76448780
3.28000000,-23.76768800,-7.51129360
3.28500000,-28.50027300,-7.68947240
3.29000000,-32.55414600,-10.07732100
3.29500000,-33.87930700,-12.28202000
3.30000000,-34.86070400,-15.56787000
3.30500000,-27.52535500,-18.90301400
3.31000000,-19.87951300,-18.63281600
3.31500000,-16.47855500,-17.30474800
3.32000000,-15.30539700,-16.00066300
3.32500000,-15.69445500,-14.83951100
3.33000000,-17.06499500,-15.06374400
3.33500000,-15.12161600,-15.37110500
3.34000000,-14.30307900,-15.34242700
3.34500000,-13.68658000,-14.58837000
3.35000000,-14.88434500,-14.24314900
3.35500000,-15.84406100,-14.47613300
3.36000000,-15.90589100,-14.97883300
3.36500000,-15.29470700,-15.30418700
3.37000000,-13.97672600,-15.64161900
3.37500000,-12.06844000,-15.66807400
3.38000000,-10.89970800,-14.86747600
3.38500000,-12.25648100,-14.61596000
3.39000000,-12.80279600,-15.15472900
3.39500000,-12.64168800,-15.88341500
3.40000000,-10.46954100,-16.27764000
3.40500000,-9.85048700,-16.01426400
3.41000000,-9.75740950,-16.13585400
3.41500000,-8.11367630,-16.49845800
3.42000000,-7.51905170,-15.98917100
3.42500000,-6.07355990,-16.35033300
3.43000000,-3.75888960,-15.34259900
3.43500000,-3.44585150,-13.92904200
3.44000000,-5.27826870,-12.78662800
3.44500000,-7.16565930,-12.58188000
3.45000000,-7.94894820,-12.53313900
3.45500000,-9.22156680,-11.97345800
3.46000000,-11.66145900,-12.22054300
3.46500000,-13.15908500,-12.74628800
3.47000000,-14.46842500,-12.94944600
3.47500000,-16.58592700,-13.60415000
3.48000000,-17.45843200,-14.51055900
3.48500000,-17.77251200,-15.46155200
3.49000000,-18.14021400,-16.66850700
3.49500000,-17.34753800,-17.86881200
3.50000000,-16.13361000,-18.82475900
