omega_eV,Re_xx,Im_xx,Re_yy,Im_yy,Re_xy,Im_xy,Re_yx,Im_yx
3.25,8813.421,-1026.6611,8553.6843,-1702.2595,-36.64101778,-20.9061019,-35.57286622,-24.5101861
3.255,8871.8834,-1017.9137,8597.3926,-1675.0404,-29.06008633,-20.6658356,-28.86339567,-25.3539664
3.26,8926.8513,-1005.1374,8616.2516,-1650.66,-27.58131276,-18.092099,-26.51185924,-23.502297
3.265,8986.8668,-995.79739,8650.6677,-1630.1098,-28.11834417,-17.6237294,-26.48069783,-22.8800166
3.27,9074.6573,-985.88044,8698.3649,-1607.679,-27.8944138,-16.6407594,-25.2841202,-22.6533646
3.275,9183.918,-960.06175,8754.5391,-1576.9342,-27.8464085,-16.4622109,-25.8043375,-20.0370871
3.28,9284.3611,-922.52946,8804.9498,-1540.271,-32.45270572,-16.6067192,-30.47440428,-20.2249768
3.285,9394.8512,-874.15015,8842.5744,-1498.6524,-36.5011612,-18.7388182,-34.2791968,-21.5814798
3.29,9472.9369,-806.29645,8865.9026,-1461.7526,-34.9952821,-22.4104793,-32.4148339,-24.8201707
3.295,9511.5849,-737.68152,8902.0061,-1424.9347,-28.6172611,-24.71698043,-26.4009489,-25.96768157
3.3,9526.3531,-674.15738,8930.0981,-1386.4509,-21.80180239,-24.38230237,-19.81030361,-25.83325363
3.305,9519.5308,-618.7977,8967.3412,-1348.5547,-17.825798,-22.1033919,-16.063158,-24.5603881
3.31,9513.4449,-575.80606,9005.5201,-1301.8312,-17.548107,-18.9642871,-15.224435,-22.3812369
3.315,9521.5426,-540.30555,9027.6448,-1251.4903,-21.3346928,-17.5458238,-18.3448872,-20.7237782
3.32,9548.6019,-505.05114,9040.6322,-1194.4386,-23.6033191,-18.25652809,-20.0864989,-20.17221791
3.325,9588.2022,-463.31782,9011.2764,-1143.8008,-25.189427,-19.67437819,-21.807371,-19.40276181
3.33,9619.5066,-411.1843,8981.3128,-1106.9825,-24.8045978,-20.95693658,-22.1194362,-20.24975942
3.335,9632.615,-358.3901,8963.6535,-1078.7424,-22.2781151,-20.95912512,-20.0404489,-20.27820088
3.34,9616.6858,-307.40135,8965.3571,-1054.9977,-21.3102731,-19.8480804,-19.1404369,-20.1677316
3.345,9622.2358,-272.18386,8994.6684,-1029.6552,-22.6050195,-19.19210587,-20.0909305,-19.89281613
3.35,9648.9857,-232.3118,9041.8544,-991.00445,-23.0349068,-20.00365093,-20.4903132,-19.21871507
3.355,9680.66,-186.54333,9070.5062,-936.79919,-22.8286281,-20.05142731,-19.6357219,-19.69537669
3.36,9714.5379,-139.34329,9090.3076,-890.45965,-23.058542,-20.3891193,-19.952904,-17.8001527
3.365,9763.1309,-82.5875,9094.2243,-835.63482,-24.1988065,-20.8539534,-22.2510715,-17.4379066
3.37,9804.8979,-13.069572,9077.5092,-793.64393,-25.36565387,-20.3470722,-23.67700013,-17.5272638
3.375,9811.2611,74.023146,9084.6782,-757.13196,-27.14139362,-21.6103413,-25.31837838,-18.3289187
3.38,9768.1472,145.66094,9099.3525,-719.10429,-28.29253547,-22.1923299,-26.87449453,-17.4435061
3.385,9728.497,206.13561,9113.2436,-674.05945,-30.38478858,-23.0136246,-29.70198142,-17.7275154
3.39,9699.2949,265.50309,9115.7624,-631.12187,-33.75920697,-23.6148585,-34.28111103,-20.4334975
3.395,9659.7809,327.03209,9113.7997,-587.20431,-34.23834476,-24.36695782,-34.32907724,-23.75800418
3.4,9619.2733,389.30956,9110.2851,-544.80871,-34.14335579,-26.65161048,-33.33534221,-25.27661952
3.405,9549.2873,455.36563,9092.626,-501.14769,-31.94649241,-28.45247393,-31.32299559,-26.65827607
3.41,9455.5517,517.50727,9066.0853,-458.10268,-28.71721198,-28.75388816,-28.15074002,-28.56455784
3.415,9336.5527,567.68838,9031.6413,-422.47387,-25.79279316,-29.48888013,-24.56255884,-27.69008987
3.42,9210.782,600.66512,8998.5214,-389.62574,-23.67004667,-29.3973922,-22.43297733,-27.0721278
3.425,9099.7708,623.98596,8960.1365,-357.72853,-23.36595671,-29.1033246,-22.18107529,-26.2986054
