omega_eV,Re,Im
3.44500000,-24.01512000,-26.68320700
3.45000000,-26.96454600,-26.89490300
3.45500000,-28.65703700,-28.12982400
3.46000000,-28.81516700,-29.10247600
3.46500000,-29.14685500,-30.25509100
3.47000000,-29.70662900,-31.12631400
3.47500000,-29.34186000,-32.70893400
3.48000000,-27.47640400,-34.11914700
3.48500000,-24.79887800,-34.84146200
3.49000000,-22.28334700,-35.30497000
3.49500000,-19.29053000,-35.75824200
3.50000000,-16.69841600,-35.35225800
