case_label,eps_percent,pair_n_1based,pair_m_1based,node1_chirality,node2_chirality,point_index,delta_k_frac,band_n_index,band_m_index,band_56_raw_HR_E_eV,band_57_raw_HR_E_eV,band_n_energy_eV,band_m_energy_eV,energy_reference,pair_distance_frac,node1_delta_k_frac,node2_delta_k_frac,node1_E_minus_EF_eV,node2_E_minus_EF_eV,fermi_energy_eV,case_short,selected_pair_id,family_plus,family_minus,band_energy_reference
00_Optimized_Structure,0.0,56,57,1,-1,141,0.0304716788402138,56,57,8.566299041886536,8.569892131422074,8.566299041886536,8.569892131422074,raw_HR_eigenvalue_eV,0.0575471017889902,-0.0287735508944951,0.0287735508944951,0.00304302,0.0589698,0.0,0%,pair_04,F08,F03,raw_HR_eigenvalue_eV
00_Optimized_Structure,0.0,56,57,1,-1,142,0.0310691627390416,56,57,8.566020539530301,8.570870060629728,8.566020539530301,8.570870060629728,raw_HR_eigenvalue_eV,0.0575471017889902,-0.0287735508944951,0.0287735508944951,0.00304302,0.0589698,0.0,0%,pair_04,F08,F03,raw_HR_eigenvalue_eV
00_Optimized_Structure,0.0,56,57,1,-1,143,0.0316666466378693,56,57,8.565741728846154,8.571842928333027,8.565741728846154,8.571842928333027,raw_HR_eigenvalue_eV,0.0575471017889902,-0.0287735508944951,0.0287735508944951,0.00304302,0.0589698,0.0,0%,pair_04,F08,F03,raw_HR_eigenvalue_eV
00_Optimized_Structure,0.0,56,57,1,-1,144,0.032264130536697,56,57,8.565462878168626,8.572810660762686,8.565462878168626,8.572810660762686,raw_HR_eigenvalue_eV,0.0575471017889902,-0.0287735508944951,0.0287735508944951,0.00304302,0.0589698,0.0,0%,pair_04,F08,F03,raw_HR_eigenvalue_eV
00_Optimized_Structure,0.0,56,57,1,-1,145,0.0328616144355247,56,57,8.565184215803528,8.573773187255794,8.565184215803528,8.573773187255794,raw_HR_eigenvalue_eV,0.0575471017889902,-0.0287735508944951,0.0287735508944951,0.00304302,0.0589698,0.0,0%,pair_04,F08,F03,raw_HR_eigenvalue_eV
00_Optimized_Structure,0.0,56,57,1,-1,146,0.0334590983343525,56,57,8.564905937873196,8.574730439759023,8.564905937873196,8.574730439759023,raw_HR_eigenvalue_eV,0.0575471017889902,-0.0287735508944951,0.0287735508944951,0.00304302,0.0589698,0.0,0%,pair_04,F08,F03,raw_HR_eigenvalue_eV
00_Optimized_Structure,0.0,56,57,1,-1,147,0.0340565822331802,56,57,8.564628214304586,8.575682352302358,8.564628214304586,8.575682352302358,raw_HR_eigenvalue_eV,0.0575471017889902,-0.0287735508944951,0.0287735508944951,0.00304302,0.0589698,0.0,0%,pair_04,F08,F03,raw_HR_eigenvalue_eV
00_Optimized_Structure,0.0,56,57,1,-1,148,0.0346540661320079,56,57,8.564351193444098,8.576628860425183,8.564351193444098,8.576628860425183,raw_HR_eigenvalue_eV,0.0575471017889902,-0.0287735508944951,0.0287735508944951,0.00304302,0.0589698,0.0,0%,pair_04,F08,F03,raw_HR_eigenvalue_eV
00_Optimized_Structure,0.0,56,57,1,-1,149,0.0352515500308356,56,57,8.564075005646057,8.57756990053247,8.564075005646057,8.57756990053247,raw_HR_eigenvalue_eV,0.0575471017889902,-0.0287735508944951,0.0287735508944951,0.00304302,0.0589698,0.0,0%,pair_04,F08,F03,raw_HR_eigenvalue_eV
00_Optimized_Structure,0.0,56,57,1,-1,150,0.0358490339296634,56,57,8.563799766086435,8.578505409152163,8.563799766086435,8.578505409152163,raw_HR_eigenvalue_eV,0.0575471017889902,-0.0287735508944951,0.0287735508944951,0.00304302,0.0589698,0.0,0%,pair_04,F08,F03,raw_HR_eigenvalue_eV
00_Optimized_Structure,0.0,56,57,1,-1,151,0.0364465178284911,56,57,8.56352557698611,8.579435322055993,8.56352557698611,8.579435322055993,raw_HR_eigenvalue_eV,0.0575471017889902,-0.0287735508944951,0.0287735508944951,0.00304302,0.0589698,0.0,0%,pair_04,F08,F03,raw_HR_eigenvalue_eV
00_Optimized_Structure,0.0,56,57,1,-1,152,0.0370440017273188,56,57,8.563252529380499,8.58035957319312,8.563252529380499,8.58035957319312,raw_HR_eigenvalue_eV,0.0575471017889902,-0.0287735508944951,0.0287735508944951,0.00304302,0.0589698,0.0,0%,pair_04,F08,F03,raw_HR_eigenvalue_eV
00_Optimized_Structure,0.0,56,57,1,-1,153,0.0376414856261465,56,57,8.56298070453754,8.581278093367382,8.56298070453754,8.581278093367382,raw_HR_eigenvalue_eV,0.0575471017889902,-0.0287735508944951,0.0287735508944951,0.00304302,0.0589698,0.0,0%,pair_04,F08,F03,raw_HR_eigenvalue_eV
00_Optimized_Structure,0.0,56,57,1,-1,154,0.0382389695249743,56,57,8.562710175101484,8.58219080856216,8.562710175101484,8.58219080856216,raw_HR_eigenvalue_eV,0.0575471017889902,-0.0287735508944951,0.0287735508944951,0.00304302,0.0589698,0.0,0%,pair_04,F08,F03,raw_HR_eigenvalue_eV
