path,strain_percent,case_label,case_short,family_id,pair_id,chirality,k1_centered,k2_centered,k3_centered,tilt_ratio,tilt_ratio_window_min,tilt_ratio_window_max,tilt_ratio_window_std,typeII_flag,typeII_window_all,mean_cone_slope_eV_per_reduced_dk,condition_G,stability_indicator,recommended_usage
b,0.2,Strain_b_Tension_0.2pct,b +0.2%,F07,b_pair_01,1,0.1212238599999999,-0.1027241999999999,-0.0085520699999999,1.2186500965107496,1.2186292206328844,1.2186487917092839,8.455650297826748e-06,True,True,1.0802336916379687,303.91543121068395,0.05736191268627305,supplementary
b,0.2,Strain_b_Tension_0.2pct,b +0.2%,F08,b_pair_04,1,0.12827418,0.04536786,-0.00774855,2.109781063084361,2.109770518836003,2.1097804039512997,4.270813875856577e-06,True,True,1.1632704901418143,359.31585956075327,0.05275477883745273,supplementary
b,0.3,Strain_b_Tension_0.3pct,b +0.3%,F01,b_pair_02,-1,-0.1279753999999999,0.04591489,0.0050221,2.18212172698322,2.1820937622793934,2.182119979009001,1.1326855162292589e-05,True,True,1.1756640911538536,346.88074732183554,0.053692039611135,supplementary
b,0.3,Strain_b_Tension_0.3pct,b +0.3%,F02,b_pair_03,-1,-0.12139552,-0.1027891199999999,0.0097455699999999,1.376473368141692,1.3764503334598626,1.3764719284219717,9.330070173358186e-06,True,True,1.0220164795843356,374.4351977156014,0.05167871028583677,supplementary
b,0.3,Strain_b_Tension_0.3pct,b +0.3%,F03,b_pair_04,-1,0.1213973699999999,0.10274264,-0.0099015799999999,1.3738248823891788,1.3738023662583405,1.3738234750801315,9.120034388227772e-06,True,True,1.024318032155792,373.7441606101769,0.05172646409435485,supplementary
b,0.3,Strain_b_Tension_0.3pct,b +0.3%,F04,b_pair_01,-1,0.1279608399999999,-0.0460190900000001,-0.0049134099999998,2.18580575998787,2.18577750858392,2.185803994094585,1.1442981435534424e-05,True,True,1.1749803798391059,345.99108683437083,0.0537610255194905,supplementary
b,0.3,Strain_b_Tension_0.3pct,b +0.3%,F05,b_pair_03,1,-0.1279833099999998,-0.04550161,0.0071139599999999,2.094869616638928,2.0948582152211204,2.0948689039337727,4.618007080113408e-06,True,True,1.160394302033901,356.41058111399235,0.05296935755257432,supplementary
b,0.3,Strain_b_Tension_0.3pct,b +0.3%,F06,b_pair_02,1,-0.1209502399999999,0.1027479599999999,0.0086088899999999,1.2605676244698172,1.260546964027723,1.260566333140169,8.36839294334066e-06,True,True,1.0690383956405725,299.1863526161286,0.05781347979353696,supplementary
b,0.3,Strain_b_Tension_0.3pct,b +0.3%,F07,b_pair_01,1,0.12093114,-0.1027540199999998,-0.00858683,1.2546353245526087,1.2546144419830716,1.254634019340141,8.458364612714522e-06,True,True,1.0705686628203044,299.97597671655694,0.05773733869933202,supplementary
b,0.3,Strain_b_Tension_0.3pct,b +0.3%,F08,b_pair_04,1,0.12799158,0.0454549899999999,-0.0072735499999998,2.090240775729441,2.0902295232478445,2.0902400723295584,4.557680298536202e-06,True,True,1.1608053975783534,356.93461811993546,0.05293045953333874,supplementary
b,0.4,Strain_b_Tension_0.4pct,b +0.4%,F01,b_pair_02,-1,-0.1275895899999999,0.04634168,0.0049586499999999,2.168738798018548,2.168706818652157,2.1687367991078497,1.2952963168979471e-05,True,True,1.166967908316813,343.63688578036215,0.053944865263815846,supplementary
b,0.4,Strain_b_Tension_0.4pct,b +0.4%,F02,b_pair_03,-1,-0.12103499,-0.1030742099999999,0.00791998,1.3047209336782855,1.3046945537951735,1.3047192848759859,1.0685025844926546e-05,True,True,1.0227819317531153,330.3715839861883,0.055017221942736144,supplementary
b,0.4,Strain_b_Tension_0.4pct,b +0.4%,F03,b_pair_04,-1,0.1210515599999999,0.10306353,-0.00830452,1.3104617716537663,1.3104360423292212,1.3104601635136817,1.0421520945131785e-05,True,True,1.0220544491349286,328.87454007944433,0.05514229954805045,supplementary
b,0.4,Strain_b_Tension_0.4pct,b +0.4%,F04,b_pair_01,-1,0.12756206,-0.04640281,-0.0049381799999999,2.1691297113673764,2.1690973796168747,2.1691276904326737,1.3095694675116961e-05,True,True,1.1663716021407609,342.1563984019498,0.05406144716417034,supplementary
b,0.4,Strain_b_Tension_0.4pct,b +0.4%,F05,b_pair_03,1,-0.1276574999999999,-0.0457389799999998,0.0068521599999999,2.0710880364038387,2.071074889742007,2.071087214611113,5.324906335583009e-06,True,True,1.1551101646830448,355.4156135876119,0.05304344821643722,supplementary
b,0.4,Strain_b_Tension_0.4pct,b +0.4%,F06,b_pair_02,1,-0.12074837,0.10309794,0.00904684,1.2553376788602788,1.255316238188316,1.2553363387675736,8.68442443749518e-06,True,True,1.0591901281175533,265.9494327112773,0.06131976274836048,supplementary
b,0.4,Strain_b_Tension_0.4pct,b +0.4%,F07,b_pair_01,1,0.12072019,-0.1031663699999998,-0.00897879,1.2555001586414742,1.255478376976988,1.2554987972359972,8.822541563863534e-06,True,True,1.0580484060636817,267.123745622648,0.06118482921163585,supplementary
b,0.4,Strain_b_Tension_0.4pct,b +0.4%,F08,b_pair_04,1,0.12764722,0.0457109,-0.0068855199999999,2.0662823067310625,2.0662693065149123,2.0662814940939604,5.265589852165501e-06,True,True,1.1551175378145841,353.9838481287984,0.05315061290409625,supplementary
b,0.5,Strain_b_Tension_0.5pct,b +0.5%,F01,b_pair_02,-1,-0.12729729,0.0464010599999999,0.00547971,2.1480966200084306,2.1480638454724157,2.148094571396654,1.3275042157940473e-05,True,True,1.1643265014425757,342.334322200406,0.054047396472281815,supplementary
b,0.5,Strain_b_Tension_0.5pct,b +0.5%,F02,b_pair_03,-1,-0.1207460099999999,-0.10312674,0.00795385,1.3162242682975782,1.3161966555651432,1.3162225424403424,1.1184385475001625e-05,True,True,1.015424195716353,321.57545861263173,0.05576459483981446,supplementary
b,0.5,Strain_b_Tension_0.5pct,b +0.5%,F03,b_pair_04,-1,0.12074257,0.10311957,-0.00820255,1.3101600807523974,1.3101329859889552,1.3101583872687057,1.0974584918217602e-05,True,True,1.0188283398847913,320.6731836826915,0.055842991873718675,supplementary
b,0.5,Strain_b_Tension_0.5pct,b +0.5%,F04,b_pair_01,-1,0.12728527,-0.04651077,-0.0054165299999999,2.1547485268640076,2.1547154592225546,2.154746459934945,1.3393763519580919e-05,True,True,1.1634257409620903,341.0283113655585,0.05415078823210766,supplementary
b,0.5,Strain_b_Tension_0.5pct,b +0.5%,F05,b_pair_03,1,-0.1273649400000001,-0.0458321299999999,0.0067773199999999,2.0528597363574854,2.05284593914655,2.052858873908449,5.588409269596601e-06,True,True,1.1520962003286952,353.1231282585517,0.0532153494533657,supplementary
