omega_eV,Re,Im
2.65000000,6594.87710000,-2998.86200000
2.65500000,6605.01850000,-2997.48640000
2.66000000,6622.41260000,-2996.70120000
2.66500000,6654.27570000,-2995.05960000
2.67000000,6688.55530000,-2987.96150000
2.67500000,6723.14060000,-2981.08310000
2.68000000,6764.11640000,-2972.26180000
2.68500000,6806.77600000,-2958.71220000
2.69000000,6849.33360000,-2942.74630000
2.69500000,6890.46000000,-2921.00460000
2.70000000,6913.74580000,-2893.00380000
2.70500000,6921.21570000,-2871.18820000
2.71000000,6932.38810000,-2852.31700000
2.71500000,6942.63500000,-2832.54560000
2.72000000,6948.50740000,-2811.62280000
2.72500000,6949.60610000,-2792.09270000
2.73000000,6946.92340000,-2769.19770000
2.73500000,6924.28350000,-2749.74220000
2.74000000,6898.18850000,-2737.01150000
2.74500000,6874.12400000,-2728.59300000
2.75000000,6853.34170000,-2723.31210000
2.75500000,6834.49830000,-2720.21920000
2.76000000,6817.68710000,-2718.08940000
2.76500000,6800.53130000,-2718.70500000
2.77000000,6787.09120000,-2721.69060000
2.77500000,6778.73810000,-2726.47240000
2.78000000,6776.44240000,-2731.86990000
2.78500000,6782.36850000,-2737.69570000
2.79000000,6795.97510000,-2742.47970000
2.79500000,6814.52850000,-2745.32440000
2.80000000,6841.03290000,-2746.35390000
2.80500000,6871.52280000,-2742.13330000
2.81000000,6897.04860000,-2733.05250000
2.81500000,6907.64890000,-2720.55080000
2.82000000,6908.29640000,-2713.79560000
2.82500000,6910.28530000,-2709.75390000
2.83000000,6916.69160000,-2708.57450000
2.83500000,6930.74260000,-2707.83780000
2.84000000,6949.93170000,-2706.52910000
2.84500000,6970.34160000,-2702.65430000
2.85000000,6988.25570000,-2698.31860000
2.85500000,7006.46800000,-2694.00560000
2.86000000,7020.33800000,-2689.14370000
2.86500000,7033.53760000,-2687.39450000
2.87000000,7052.12510000,-2686.53480000
2.87500000,7074.40690000,-2685.90950000
2.88000000,7105.31810000,-2685.16880000
2.88500000,7143.15910000,-2681.92800000
2.89000000,7189.29510000,-2676.19360000
2.89500000,7241.96520000,-2663.97890000
2.90000000,7289.70670000,-2644.33250000
2.90500000,7326.78790000,-2622.45030000
2.91000000,7360.79930000,-2600.20320000
2.91500000,7395.00350000,-2574.77070000
2.92000000,7423.50560000,-2545.80760000
2.92500000,7439.26550000,-2514.43110000
2.93000000,7443.34840000,-2484.23240000
2.93500000,7434.53680000,-2456.33280000
2.94000000,7419.74880000,-2435.49650000
2.94500000,7412.47310000,-2419.68930000
2.95000000,7416.19430000,-2404.98150000
2.95500000,7433.77050000,-2386.59720000
2.96000000,7439.33750000,-2357.99930000
2.96500000,7427.61470000,-2331.49220000
2.97000000,7394.39640000,-2312.55730000
2.97500000,7368.35780000,-2303.95540000
2.98000000,7358.04290000,-2297.71170000
2.98500000,7351.41610000,-2292.47090000
2.99000000,7351.61180000,-2288.82060000
2.99500000,7357.14780000,-2284.63270000
3.00000000,7363.04550000,-2278.79470000
3.00500000,7368.41510000,-2273.30730000
3.01000000,7372.00340000,-2268.15660000
3.01500000,7376.25750000,-2263.76360000
3.02000000,7380.29430000,-2258.16460000
3.02500000,7381.72220000,-2251.19980000
3.03000000,7374.53820000,-2244.53570000
3.03500000,7361.14010000,-2240.96710000
3.04000000,7347.86510000,-2243.89020000
3.04500000,7346.32730000,-2250.40170000
3.05000000,7356.56110000,-2256.80220000
3.05500000,7378.59660000,-2262.65700000
3.06000000,7412.52140000,-2264.76850000
3.06500000,7447.64660000,-2260.36830000
3.07000000,7475.30710000,-2251.12190000
3.07500000,7487.07750000,-2238.29020000
3.08000000,7490.47090000,-2230.79000000
3.08500000,7492.32820000,-2224.24650000
3.09000000,7491.59570000,-2223.02890000
3.09500000,7500.37780000,-2224.85690000
3.10000000,7519.14840000,-2223.85750000
3.10500000,7525.93900000,-2218.44000000
3.11000000,7533.87250000,-2218.23200000
3.11500000,7543.93410000,-2219.02010000
3.12000000,7553.73030000,-2221.43030000
3.12500000,7571.59040000,-2227.30550000
3.13000000,7598.14920000,-2232.12500000
3.13500000,7622.29630000,-2235.63130000
3.14000000,7657.00310000,-2242.81410000
3.14500000,7701.08790000,-2246.34230000
3.15000000,7750.18280000,-2250.45510000
3.15500000,7809.30280000,-2250.47960000
3.16000000,7863.89750000,-2246.10840000
3.16500000,7919.22170000,-2242.21120000
3.17000000,7978.54830000,-2236.92920000
3.17500000,8043.32380000,-2229.40420000
3.18000000,8121.36410000,-2216.82820000
3.18500000,8181.95500000,-2197.70490000
3.19000000,8241.23130000,-2185.76700000
3.19500000,8323.97650000,-2174.69610000
3.20000000,8422.28230000,-2157.65550000
3.20500000,8524.14510000,-2130.10500000
3.21000000,8626.05560000,-2095.76380000
3.21500000,8724.25580000,-2049.42880000
3.22000000,8803.71530000,-1995.11880000
3.22500000,8860.00910000,-1937.13800000
3.23000000,8904.10670000,-1881.58980000
3.23500000,8925.02800000,-1823.30780000
3.24000000,8930.45330000,-1778.31580000
3.24500000,8948.11070000,-1740.35080000
